date,time,n-bits,eps,alpha,mask_reg,logit_reg,decoder_steps,decoder_lr,batch_size,epochs,channel,plot_url,eval_ber_aac_(128k),eval_snr_aac_(128k),eval_lsd_aac_(128k),eval_ber_identity,eval_snr_identity,eval_lsd_identity,eval_ber_mp3_(128k),eval_snr_mp3_(128k),eval_lsd_mp3_(128k),eval_ber_mp3_(64k),eval_snr_mp3_(64k),eval_lsd_mp3_(64k),eval_ber_noise_(std=0.01),eval_snr_noise_(std=0.01),eval_lsd_noise_(std=0.01),eval_ber_quant_(12_bit),eval_snr_quant_(12_bit),eval_lsd_quant_(12_bit),eval_ber_random_eq,eval_snr_random_eq,eval_lsd_random_eq,eval_ber_resample_(0.9x),eval_snr_resample_(0.9x),eval_lsd_resample_(0.9x),eval_ber_resample_(1.1x),eval_snr_resample_(1.1x),eval_lsd_resample_(1.1x)
20251214,040608,16,0.4,0.0,0.0001,0.0001,1,1e-4,32,20,full_hf1,plots/20251214-040608_bits16_eps0.4_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chfull_hf1.png,0.1802,10.31,0.052,0.1225,10.31,0.052,0.1907,10.31,0.052,0.2582,10.31,0.052,0.3282,10.31,0.052,0.1843,10.31,0.052,0.1554,10.31,0.052,0.4515,10.31,0.052,0.4528,10.31,0.052
20251213,223646,16,0.4,0.0,0.0001,0.0001,1,1e-4,32,20,none_hf1,plots/20251213-223646_bits16_eps0.4_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnone_hf1.png,0.1323,10.39,0.066,0.0775,10.39,0.066,0.1507,10.39,0.066,0.2186,10.39,0.066,0.29,10.39,0.066,0.1323,10.39,0.066,0.2231,10.39,0.066,0.406,10.39,0.066,0.4276,10.39,0.066
20251213,164734,16,0.4,0.1,0.0001,0.0001,1,1e-4,32,20,full_hf1,plots/20251213-164734_bits16_eps0.4_alpha0.1_beta0.1_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chfull_hf1.png,0.2,11.58,0.033,0.1234,11.58,0.033,0.2129,11.58,0.033,0.2807,11.58,0.033,0.3357,11.58,0.033,0.1957,11.58,0.033,0.1608,11.58,0.033,0.482,11.58,0.033,0.4743,11.58,0.033
20251213,111111,16,0.4,0.1,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251213-111111_bits16_eps0.4_alpha0.1_beta0.1_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.1522,10.13,0.048,0.0848,10.13,0.048,0.1748,10.13,0.048,0.2574,10.13,0.048,0.2966,10.13,0.048,0.1576,10.13,0.048,0.209,10.13,0.048,0.4291,10.13,0.048,0.4406,10.13,0.048
20251212,182237,16,0.3,0.2,0.0001,0.0001,2,1e-4,32,20,noise_only_hf1,plots/20251212-182237_bits16_eps0.3_alpha0.2_beta0.2_mask1e-4_logit1e-4_decLR1e-4_decSteps2_bs32_ep20_chnoise_only_hf1.png,0.2052,17.04,0.023,0.1442,17.04,0.023,0.2297,17.04,0.023,0.2904,17.04,0.023,0.3097,17.04,0.023,0.201,17.04,0.023,0.2767,17.04,0.023,0.4132,17.04,0.023,0.4298,17.04,0.023
20251212,095901,16,0.3,0.0,0.0001,0.0001,1,1e-4,32,30,noise_only_hf1,plots/20251212-095901_bits16_eps0.3_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep30_chnoise_only_hf1.png,0.1821,12.49,0.049,0.117,12.49,0.049,0.1981,12.49,0.049,0.2688,12.49,0.049,0.3149,12.49,0.049,0.1823,12.49,0.049,0.246,12.49,0.049,0.4272,12.49,0.049,0.4443,12.49,0.049
20251212,042158,16,0.3,0.2,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251212-042158_bits16_eps0.3_alpha0.2_beta0.2_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.2327,20.5,0.017,0.1605,20.5,0.017,0.2421,20.5,0.017,0.2997,20.5,0.017,0.3398,20.5,0.017,0.2239,20.5,0.017,0.2483,20.5,0.017,0.4505,20.5,0.017,0.4599,20.5,0.017
20251211,224523,16,0.4,0.0,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251211-224523_bits16_eps0.4_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.1574,10.49,0.056,0.0944,10.49,0.056,0.1798,10.49,0.056,0.2565,10.49,0.056,0.294,10.49,0.056,0.1608,10.49,0.056,0.2128,10.49,0.056,0.4251,10.49,0.056,0.4379,10.49,0.056
20251211,154331,16,0.3,0.0,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251211-154331_bits16_eps0.3_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.1869,13.3,0.03,0.1227,13.3,0.03,0.2155,13.3,0.03,0.28,13.3,0.03,0.3207,13.3,0.03,0.1898,13.3,0.03,0.2507,13.3,0.03,0.4283,13.3,0.03,0.4533,13.3,0.03
20251211,124606,16,0.5,0.0,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251211-124606_bits16_eps0.5_alpha0.0_beta0.0_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.1402,13.68,0.031,0.0765,13.68,0.031,0.1561,13.68,0.031,0.2296,13.68,0.031,0.2723,13.68,0.031,0.1352,13.68,0.031,0.1612,13.68,0.031,0.4508,13.68,0.031,0.4527,13.68,0.031
